mm, 1, 1, 1, openmp, 384, 384, 384, 1.097564, 25, 0.043903
mm, 1, 1, 2, openmp, 384, 384, 384, 1.063083, 25, 0.042523
mm, 1, 1, 4, openmp, 384, 384, 384, 0.844135, 25, 0.033765
mm, 1, 1, 8, openmp, 384, 384, 384, 0.897399, 25, 0.035896
mm, 1, 1, 12, openmp, 384, 384, 384, 0.811612, 25, 0.032464
mm, 1, 1, 16, openmp, 384, 384, 384, 0.651673, 25, 0.026067
mm, 1, 1, 24, openmp, 384, 384, 384, 0.800787, 25, 0.032031
mm, 1, 1, 1, mkl, 384, 384, 384, 0.045068, 25, 0.001803
mm, 1, 1, 2, mkl, 384, 384, 384, 0.068171, 25, 0.002727
mm, 1, 1, 4, mkl, 384, 384, 384, 0.054547, 25, 0.002182
mm, 1, 1, 8, mkl, 384, 384, 384, 0.095689, 25, 0.003828
mm, 1, 1, 12, mkl, 384, 384, 384, 0.073073, 25, 0.002923
mm, 1, 1, 16, mkl, 384, 384, 384, 0.070919, 25, 0.002837
mm, 1, 1, 24, mkl, 384, 384, 384, 0.073693, 25, 0.002948
mm, 1, 1, 1, openmp, 768, 768, 768, 4.028442, 25, 0.161138
mm, 1, 1, 2, openmp, 768, 768, 768, 6.124147, 25, 0.244966
mm, 1, 1, 4, openmp, 768, 768, 768, 5.931332, 25, 0.237253
mm, 1, 1, 8, openmp, 768, 768, 768, 6.276260, 25, 0.251050
mm, 1, 1, 12, openmp, 768, 768, 768, 6.138832, 25, 0.245553
mm, 1, 1, 16, openmp, 768, 768, 768, 5.674245, 25, 0.226970
mm, 1, 1, 24, openmp, 768, 768, 768, 5.291284, 25, 0.211651
mm, 1, 1, 1, mkl, 768, 768, 768, 0.352825, 25, 0.014113
mm, 1, 1, 2, mkl, 768, 768, 768, 0.434269, 25, 0.017371
mm, 1, 1, 4, mkl, 768, 768, 768, 0.425075, 25, 0.017003
mm, 1, 1, 8, mkl, 768, 768, 768, 0.442406, 25, 0.017696
mm, 1, 1, 12, mkl, 768, 768, 768, 0.453630, 25, 0.018145
mm, 1, 1, 16, mkl, 768, 768, 768, 0.407062, 25, 0.016282
mm, 1, 1, 24, mkl, 768, 768, 768, 0.415027, 25, 0.016601
mm, 1, 1, 1, openmp, 1536, 1536, 1536, 32.409489, 25, 1.296380
mm, 1, 1, 2, openmp, 1536, 1536, 1536, 32.029337, 25, 1.281173
mm, 1, 1, 4, openmp, 1536, 1536, 1536, 31.904986, 25, 1.276199
mm, 1, 1, 8, openmp, 1536, 1536, 1536, 31.477813, 25, 1.259113
mm, 1, 1, 12, openmp, 1536, 1536, 1536, 31.933500, 25, 1.277340
mm, 1, 1, 16, openmp, 1536, 1536, 1536, 33.851809, 25, 1.354072
mm, 1, 1, 24, openmp, 1536, 1536, 1536, 32.365353, 25, 1.294614
mm, 1, 1, 1, mkl, 1536, 1536, 1536, 2.610646, 25, 0.104426
mm, 1, 1, 2, mkl, 1536, 1536, 1536, 2.489448, 25, 0.099578
mm, 1, 1, 4, mkl, 1536, 1536, 1536, 3.377081, 25, 0.135083
mm, 1, 1, 8, mkl, 1536, 1536, 1536, 2.982075, 25, 0.119283
mm, 1, 1, 12, mkl, 1536, 1536, 1536, 3.224645, 25, 0.128986
mm, 1, 1, 16, mkl, 1536, 1536, 1536, 2.015328, 25, 0.080613
mm, 1, 1, 24, mkl, 1536, 1536, 1536, 1.632165, 25, 0.065287
mm, 1, 1, 1, openmp, 3072, 3072, 3072, 2621.569782, 25, 104.862791
mm, 1, 1, 2, openmp, 3072, 3072, 3072, 2609.542959, 25, 104.381718
mm, 1, 1, 4, openmp, 3072, 3072, 3072, 2582.400002, 25, 103.296000
mm, 1, 1, 8, openmp, 3072, 3072, 3072, 2587.242148, 25, 103.489686
mm, 1, 1, 12, openmp, 3072, 3072, 3072, 2598.499622, 25, 103.939985
mm, 1, 1, 16, 